,,,,Overall,,,,,,,PP,,SH,,Defense,
Player Name,Team,Pos,Games,G,A,Pts,+/-,PIM,SOG,GWG,G,A,G,A,Hits,BS
David Pastrnak,BOS,RW,32,26,20,46,11,26,125,5,12,5,0,0,31,10
Alex Ovechkin,WAS,LW,33,21,12,33,-4,14,153,1,8,2,0,0,96,12
Jack Eichel,BUF,C,32,20,24,44,13,16,113,4,5,8,0,0,22,20
Leon Draisaitl,EDM,C,33,19,35,54,-3,10,100,5,4,17,0,0,14,10
Auston Matthews,TOR,C,32,19,15,34,5,6,118,2,5,5,0,0,18,21
Connor McDavid,EDM,C,33,19,36,55,3,18,107,2,8,16,0,0,22,13
Nathan MacKinnon,COL,C,31,19,29,48,8,6,148,2,7,8,0,0,24,13
Brad Marchand,BOS,LW,32,18,29,47,18,45,83,4,3,11,0,0,26,7
Sebastian Aho,CAR,LW,31,18,11,29,10,8,94,3,4,3,3,1,23,8
Jake Guentzel,PIT,LW,31,17,15,32,5,14,102,3,4,2,0,0,38,12
Jean-Gabriel Pageau,OTT,C,32,16,7,23,19,18,75,3,0,2,3,0,55,24
Artemi Panarin,NYR,LW,30,15,22,37,12,12,86,3,6,6,0,0,12,5
Anthony Duclair,OTT,LW,32,15,7,22,1,14,101,0,2,1,1,0,27,18
Jakub Vrana,WAS,RW,33,15,13,28,8,12,99,3,0,6,0,0,12,10
James Neal,EDM,RW,33,14,6,20,-17,8,76,2,10,4,0,0,41,9
Brendan Gallagher,MON,RW,32,14,12,26,6,8,122,0,0,2,0,0,33,23
Patrick Kane,CHI,RW,31,14,22,36,-1,26,111,2,4,8,0,0,13,9
Brayden Schenn,STL,LW,32,14,11,25,-3,23,67,1,6,4,0,0,52,5
Elias Lindholm,CGY,RW,33,14,9,23,-5,14,77,4,5,3,0,0,44,20
Mark Scheifele,WPG,C,31,14,16,30,3,24,74,4,4,2,0,0,19,20
Brett Connolly,FLA,RW,30,14,7,21,5,8,54,1,3,1,0,0,28,12
J.T. Miller,VAN,C,31,13,18,31,-1,18,75,1,6,7,0,2,49,19
Reilly Smith,VGK,RW,33,13,12,25,6,4,82,2,2,2,2,2,22,15
Andrei Svechnikov,CAR,RW,31,13,21,34,10,20,84,3,5,9,0,0,55,13
Nikolaj Ehlers,WPG,LW,31,13,11,24,5,15,89,3,3,0,0,0,11,13
T.J. Oshie,WAS,RW,33,13,11,24,3,18,64,1,6,1,0,0,44,30
Joonas Donskoi,COL,RW,31,13,14,27,5,12,57,1,4,1,0,0,11,18
Evander Kane,SJ,LW,30,13,11,24,-6,75,101,3,7,3,2,0,65,11
John Carlson,WAS,D,33,12,33,45,19,10,95,5,2,12,0,0,25,58
Evgenii Dadonov,FLA,RW,30,12,12,24,3,2,78,1,5,1,0,0,17,10
David Perron,STL,RW,32,12,18,30,-5,26,74,5,4,11,0,0,39,8
Zach Parise,MIN,LW,31,12,6,18,-9,4,72,3,5,1,1,0,18,17
Evgeny Kuznetsov,WAS,C,30,12,19,31,6,26,70,0,4,6,0,0,17,12
Andre Burakovsky,COL,LW,28,12,11,23,2,12,55,3,1,6,0,0,6,15
Anthony Mantha,DET,RW,25,12,11,23,-4,18,92,3,4,2,0,0,29,16
Elias Pettersson,VAN,C,31,12,21,33,-1,8,77,3,6,11,0,0,29,19
Nick Bonino,NSH,C,29,12,7,19,10,8,59,2,1,0,0,0,7,35
Sam Reinhart,BUF,C,32,12,13,25,-2,14,59,0,1,5,0,0,21,9
John Tavares,TOR,C,25,12,11,23,1,8,70,3,1,5,0,0,9,13
Mathew Barzal,NYI,C,29,12,14,26,14,14,61,1,2,3,0,0,4,19
Matthew Tkachuk,CGY,LW,32,12,15,27,-2,30,85,2,2,7,0,0,68,9
Conor Garland,ARI,RW,33,12,5,17,6,8,81,3,2,3,0,0,18,14
Victor Olofsson,BUF,LW,32,12,16,28,4,4,79,1,7,4,0,0,6,10
Jeff Skinner,BUF,LW,32,11,7,18,-3,14,118,1,0,3,0,0,13,6
Mike Hoffman,FLA,LW,30,11,11,22,-3,12,89,1,5,5,0,0,13,7
Brock Boeser,VAN,RW,31,11,17,28,-1,12,96,2,5,8,0,0,20,7
Brady Tkachuk,OTT,LW,32,11,8,19,-5,27,122,2,1,0,0,0,122,14
Travis Konecny,PHI,C,30,11,17,28,0,8,67,1,2,7,0,0,27,13
Jonathan Huberdeau,FLA,LW,30,11,26,37,7,16,68,2,0,13,0,0,21,9
Kyle Palmieri,NJ,RW,30,11,8,19,3,35,70,1,5,4,0,0,42,12
Tom Wilson,WAS,RW,33,11,10,21,8,40,72,4,1,2,1,0,126,31
Brock Nelson,NYI,C,29,11,12,23,-1,14,94,4,2,2,0,0,25,23
Roope Hintz,DAL,LW,25,11,3,14,0,4,50,1,1,2,1,0,29,13
Filip Forsberg,NSH,RW,23,11,10,21,-1,14,86,0,2,3,0,0,33,4
Jakob Silfverberg,ANH,RW,31,11,10,21,2,10,62,1,2,0,2,0,18,17
Max Pacioretty,VGK,LW,33,11,16,27,0,19,133,0,3,7,0,0,45,19
